time_s,agent_id,x,y,base_speed,desired_speed,speed_factor,extinction_per_m
27.19,1,-18.666551885980986,-0.051717964794622144,1.25,1.1490793201133145,0.9192634560906515,1.0
27.3,1,-18.540153161746513,-0.05164666411582701,1.25,1.1490793201133145,0.9192634560906515,1.0
27.4,1,-18.42524523064193,-0.05158210645537032,1.25,1.1490793201133145,0.9192634560906515,1.0
27.51,1,-18.298846506446523,-0.051511379719961295,1.25,1.1490793201133145,0.9192634560906515,1.0
27.62,1,-18.17244778227188,-0.05144095274305986,1.25,1.1490793201133145,0.9192634560906515,1.0
27.73,1,-18.04604905811823,-0.051370824925330925,1.25,1.1490793201133145,0.9192634560906515,1.0
27.83,1,-17.931141127087855,-0.051307331463283916,1.25,1.1490793201133145,0.9192634560906515,1.0
27.94,1,-17.804742402974874,-0.05123777311615313,1.25,1.1490793201133145,0.9192634560906515,1.0
28.05,1,-17.678343678883515,-0.05116851220477826,1.25,1.1490793201133145,0.9192634560906515,1.0
28.15,1,-17.56343574791031,-0.051105805352507395,1.25,1.1490793201133145,0.9192634560906515,1.0
28.26,1,-17.43703702386083,-0.05103711064997839,1.25,1.1490793201133145,0.9192634560906515,1.0
28.37,1,-17.31063829983361,-0.050968711689484004,1.25,1.1490793201133145,0.9192634560906515,1.0
28.48,1,-17.184239575828858,-0.05090060789561507,1.25,1.1490793201133145,0.9192634560906515,1.0
28.58,1,-17.069331644935126,-0.05083895101072032,1.25,1.1490793201133145,0.9192634560906515,1.0
28.69,1,-16.94293292097388,-0.05077140913146945,1.25,1.1490793201133145,0.9192634560906515,1.0
28.8,1,-16.816534197035747,-0.050704160764586885,1.25,1.1490793201133145,0.9192634560906515,1.0
28.9,1,-16.70162626620314,-0.05064328011350661,1.25,1.1490793201133145,0.9192634560906515,1.0
29.01,1,-16.57522754230974,-0.050576590530906504,1.25,1.1490793201133145,0.9192634560906515,1.0
29.12,1,-16.448828818440095,-0.0505101928354746,1.25,1.1490793201133145,0.9192634560906515,1.0
29.23,1,-16.322430094594424,-0.05044408647521326,1.25,1.1490793201133145,0.9192634560906515,1.0
29.33,1,-16.207522163846622,-0.05038424213387813,1.25,1.1490793201133145,0.9192634560906515,1.0
29.44,1,-16.08112344004734,-0.05031869043839317,1.25,1.1490793201133145,0.9192634560906515,1.0
29.55,1,-15.954724716272679,-0.050253428491527176,1.25,1.1490793201133145,0.9192634560906515,1.0
29.65,1,-15.83981678559,-0.05019435043023457,1.25,1.1490793201133145,0.9192634560906515,1.0
29.76,1,-15.713418061862969,-0.050129640146509814,1.25,1.1490793201133145,0.9192634560906515,1.0
29.87,1,-15.587019338161214,-0.050065218053333374,1.25,1.1490793201133145,0.9192634560906515,1.0
29.98,1,-15.460620614484963,-0.050001083621654965,1.25,1.1490793201133145,0.9192634560906515,1.0
30.08,1,-15.345712683892502,-0.0499430287740273,1.25,1.1490793201133145,0.9192634560906515,1.0
30.19,1,-15.219313960265556,-0.04987944205724162,1.25,1.1490793201133145,0.9192634560906515,1.0
30.3,1,-15.092915236664767,-0.049816141481798616,1.25,1.1490793201133145,0.9192634560906515,1.0
30.4,1,-14.978007306141485,-0.049758843374260335,1.25,1.1490793201133145,0.9192634560906515,1.0
30.51,1,-14.851608582591263,-0.0496960876383338,1.25,1.1490793201133145,0.9192634560906515,1.0
30.62,1,-14.725209859067862,-0.04963361655155998,1.25,1.1490793201133145,0.9192634560906515,1.0
30.73,1,-14.59881113557151,-0.04957142960742062,1.25,1.1490793201133145,0.9192634560906515,1.0
30.83,1,-14.483903205143946,-0.04951514216836423,1.25,1.1490793201133145,0.9192634560906515,1.0
30.94,1,-14.357504481699866,-0.049453496283650325,1.25,1.1490793201133145,0.9192634560906515,1.0
31.05,1,-14.231105758283503,-0.04939213308664344,1.25,1.1490793201133145,0.9192634560906515,1.0
31.15,1,-14.11619782792924,-0.049336593254051146,1.25,1.1490793201133145,0.9192634560906515,1.0
31.26,1,-13.989799104566433,-0.0492757683651785,1.25,1.1490793201133145,0.9192634560906515,1.0
31.37,1,-13.863400381232019,-0.049215224736594426,1.25,1.1490793201133145,0.9192634560906515,1.0
31.47,1,-13.74849245095284,-0.04916042873545852,1.25,1.1490793201133145,0.9192634560906515,1.0
31.58,1,-13.622093727673274,-0.049100420716063575,1.25,1.1490793201133145,0.9192634560906515,1.0
31.69,1,-13.495695004422778,-0.04904069255687082,1.25,1.1490793201133145,0.9192634560906515,1.0
31.8,1,-13.369296281201589,-0.04898124378288274,1.25,1.1490793201133145,0.9192634560906515,1.0
31.9,1,-13.254388351026133,-0.048927441487537165,1.25,1.1490793201133145,0.9192634560906515,1.0
